"";"Rapper";"artist_id";"Search_Found";"Searchterm";"language"
"550";"38870";"Snaga & Pillath";"1";"Snaga-&-Pillath";"german"
"551";"24801";"Pimf";"1";"Pimf";"german"
"552";"265043";"Pitvalid & Emfiz";"3";"Pitvalid";"german"
"553";"335089";"Pitvalid & JAW";"3";"Pitvalid";"german"
"554";"193685";"Pitvalid";"3";"Pitvalid";"german"
"555";"150119";"Plattenpapzt";"1";"Plattenpapzt";"german"
"556";NA;"Fresh Familee";"0";"Fresh-Familee";"NA"
"557";"401276";"Play69";"1";"Play69";"german"
"558";"319951";"Playboy 51";"1";"Playboy-51";"german"
"559";"257962";"Plusmacher";"1";"Plusmacher";"german"
"560";"1177142";"Medimeisterschaften Magdeburg";"1";"Magdeburg";"german"
"561";"16099";"Prezident";"1";"Prezident";"german"
"562";"12011";"Prinz Pi";"1";"Prinz-Pi";"german"
"563";NA;"P.R. Kantate";"0";"P.R.-Kantate";"NA"
"564";"37944";"Prodycem";"1";"Prodycem";"german"
"565";"29208";"Psaiko.Dino";"1";"Psaiko.Dino";"german"
"566";"23079";"Punch Arogunz";"1";"Punch-Arogunz";"german"
"567";"36461";"Pyranja";"1";"Pyranja";"german"
"568";"63708";"Pyro One";"1";"Pyro-One";"german"
"569";NA;"Quichotte";"0";"Quichotte";"NA"
"570";"978712";"Bonez MC & RAF Camora";"2";"RAF-Camora";"german"
"571";"12767";"RAF Camora";"2";"RAF-Camora";"german"
"572";"653488";"Blokkmonsta, Uzi, Schwartz, Perverz & Rako";"4";"Rako";"german"
"573";"24530";"Rako";"4";"Rako";"german"
"574";"1272866";"4tune & Der Asiate ft. Blokkmonsta & Rako";"4";"Rako";"german"
"575";"1119341";"Rakontyr Clique";"4";"Rako";"english"
"576";"9959";"Raptile";"1";"Raptile";"keine_erfolgreiche_stichprobe"
"577";NA;"Rec Z";"0";"Rec-Z";"NA"
"578";"1012598";"A-Reece";"2";"Reece";"keine_erfolgreiche_stichprobe"
"579";"36562";"Uncle Reece";"2";"Reece";"scots"
"580";"64332";"Reflectionz";"1";"Reflectionz";"english"
"581";"1155260";"Revilo Marley";"1";"Revilo";"keine_erfolgreiche_stichprobe"
"582";"34133";"Rhymin Simon";"1";"Rhymin-Simon";"german"
"583";"51819";"RIN";"1";"RIN";"german"
"584";"37485";"Rizbo";"1";"Rizbo";"portuguese"
"585";NA;"Roman Geike";"0";"Roman-Geike";"NA"
"586";"14534";"Rockstah";"1";"Rockstah";"german"
"587";NA;"Roulette";"0";"Roulette";"NA"
